"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","y"
"1051",0.256352869146411,NA,-0.625974174677069,NA,NA,NA,-0.74534620759681,1.00894775571416,NA,NA,NA,NA,NA,NA,NA,0.0566623799598809,NA,NA,NA,NA,9.65552711131126
"1052",1.36779450591442,0.711035191315327,NA,NA,-0.331627504187738,NA,NA,NA,NA,NA,NA,NA,0.517420640027162,NA,0.166114998002557,NA,1.85124468473671,NA,NA,NA,10.1747201849003
"1053",NA,NA,NA,NA,NA,NA,NA,NA,-0.404905170774593,NA,NA,NA,NA,1.01190047503923,1.08919545875019,0.447008138539284,NA,NA,NA,-0.329298232335715,8.93663020240301
"1054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0131884576330354,NA,NA,0.332423422718353,NA,NA,0.801046989348435,NA,10.9240420318989
"1055",NA,NA,NA,NA,NA,-0.588608311674493,-0.337786779303407,NA,NA,-0.872010972483996,NA,NA,NA,NA,1.0010145999289,NA,NA,NA,NA,NA,9.81151054106808
"1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1712454354497,NA,NA,NA,10.1553820523892
"1057",NA,NA,NA,NA,-0.822556930330263,NA,NA,NA,-0.630585939174399,NA,NA,NA,NA,0.0301844565334445,NA,NA,1.52294266058227,NA,NA,NA,10.4049998179878
"1058",NA,NA,NA,NA,NA,3.45910505134097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8639399363381
"1059",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50833418604419,NA,0.403198056621971,NA,NA,NA,NA,NA,NA,NA,NA,10.1088054661073
"1060",NA,0.879945259199346,-0.528034218700452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.790682093563404,NA,NA,-0.478957501670945,0.34269945304341,10.3542024840899
"1061",NA,NA,NA,NA,0.656627151490787,0.472336919280589,NA,NA,-0.380025844499753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4159517439944
"1062",NA,-0.665594787602818,NA,NA,NA,NA,NA,NA,NA,NA,0.303783927100109,NA,NA,NA,NA,1.52164387642411,NA,NA,NA,NA,9.73160864398557
"1063",NA,-0.310696849479372,NA,NA,NA,NA,NA,NA,NA,0.629092936537892,NA,NA,0.24110600958427,NA,NA,NA,NA,NA,NA,0.300722007457175,10.1752720869331
"1064",NA,NA,-0.444904633254054,NA,NA,-0.151099608337255,NA,NA,NA,NA,NA,NA,NA,-0.957300467645461,NA,NA,NA,NA,NA,NA,9.85797870281823
